# Calibration corpus - birth data from the appendix of
# Chris Brennan, Hellenistic Astrology: The Study of Fate and Fortune (2017).
# Only entries Brennan rates AA are included. His 23 anonymous/private-data
# entries are excluded, as are his A, B and C rated charts.
#
# GENERATED - fields 1-9 are filled, PICKS IS EMPTY AND IS YOURS TO FILL.
#
# name | date | local time | utc offset | lat | lon | rodden | school | source | picks
#
# CODING PROTOCOL - decide this before you look at a single chart, then
# apply it identically to all 43. Suggested:
#   'The bodies named in the passage where Brennan introduces this chart.'
# Brennan uses example charts to demonstrate a technique rather than to read
# the whole chart, so the pick is usually whatever the surrounding section is
# teaching. BE AWARE this carries a selection effect: he chose each chart
# BECAUSE that factor is loud in it, which biases toward apparent agreement.
# Treat a good score here as weaker evidence than it looks.
#
# Code BLIND. Do not run the engine on a chart before writing its picks.
#
# Protocol actually used: ..............................................
#
Che Guevara | 1928-05-14 | 03:05 | -4.0000 | -32.9468 | -60.6393 | AA | brennan | Brennan, Hellenistic Astrology, Chart 3 | Mars
Hans Christian Andersen | 1805-04-02 | 01:00 | 0.6926 | 55.3959 | 10.3883 | AA | brennan | Brennan, Hellenistic Astrology, Chart 76 (LMT from own meridian) | 
Lisa Marie Presley | 1968-02-01 | 17:01 | -6.0000 | 35.1495 | -90.0490 | AA | brennan | Brennan, Hellenistic Astrology, Chart 77 | 
Amanda Knox | 1987-07-09 | 02:47 | -7.0000 | 47.6062 | -122.3321 | AA | brennan | Brennan, Hellenistic Astrology, Chart 84 | 
Anthony Louis | 1945-09-03 | 09:05 | -4.0000 | 41.5582 | -73.0515 | AA | brennan | Brennan, Hellenistic Astrology, Chart 86 | 
George W Bush | 1946-07-06 | 07:26 | -4.0000 | 41.3083 | -72.9279 | AA | brennan | Brennan, Hellenistic Astrology, Chart 102 | 
Al Gore | 1948-03-31 | 12:53 | -5.0000 | 38.9072 | -77.0369 | AA | brennan | Brennan, Hellenistic Astrology, Chart 103 | 
Chris Brennan | 1984-11-01 | 13:28 | -7.0000 | 39.7294 | -104.8319 | AA | brennan | Brennan, Hellenistic Astrology, Chart 106 | 
Vanessa L Williams | 1963-03-18 | 11:28 | -5.0000 | 41.2043 | -73.7993 | AA | brennan | Brennan, Hellenistic Astrology, Chart 108 | Jupiter
Nicole Brown Simpson | 1959-05-19 | 02:00 | 1.0000 | 50.1109 | 8.6821 | AA | brennan | Brennan, Hellenistic Astrology, Chart 109 | Saturn
Linda Goodman | 1925-04-09 | 06:05 | -5.0000 | 39.6295 | -79.9559 | AA | brennan | Brennan, Hellenistic Astrology, Chart 114 | 
Barack Obama | 1961-08-04 | 19:24 | -10.0000 | 21.3069 | -157.8583 | AA | brennan | Brennan, Hellenistic Astrology, Chart 118 | 

# ---------------------------------------------------------------------
# NOTES
#
# Offsets come from Java's IANA timezone database, not from memory, so
# adoption dates, war time and pre-1966 local DST are handled.
#
# 5 charts predate standard time in their country and use Local Mean
# Time computed from the birth city's own longitude. The tzdb's LMT is keyed
# to the zone's reference city - Europe/Berlin means Berlin, and Ulm is 13.5
# minutes of time from Berlin, which would break the chart.
#
# COORDINATES TO SPOT-CHECK - taken from memory, not a source:
#   Anthony Louis
#   Vanessa L Williams
#
# Rodden ratings are Brennan's claims, not independently verified against
# Astro-Databank. AA certifies the source, not that the time is exact.
#
# Some of these charts belong to people associated with violence or crime.
# They are here because Brennan used them to teach technique. Do NOT reuse
# this corpus to correlate placements with outcomes - that needs matched
# controls and pre-registration, and is a different project entirely.
